=== 5-a-side standalone learning demo ===
scripted-vs-scripted:   goal_diff=-0.17  (A 0.22 / B 0.39)
untrained-vs-scripted:  goal_diff=-0.14  winrate=0.43  (A 0.00 / B 0.14)  spacing=8.6
behavior-clone warm start: 28800 samples, loss 1.062, teacher-match 61%
training for 500 iterations (12 games/iter, 4 rollout workers, seed 20260710)...

 iter |  goal_diff |  winrate |     gA     gB |  space |   gate | entropy |  val_loss
--------------------------------------------------------------------------------
    5 |     -0.767 |    0.200 |   0.02   0.78 | sp  1.9 |  watch | pass 128.6 (80%) | shot 0.1
   10 |     -0.417 |    0.308 |   0.02   0.43 | sp  4.2 |  watch | pass  3.6 (38%) | shot 0.1
   15 |     -0.683 |    0.242 |   0.00   0.68 | sp  6.7 |  watch | pass  9.4 (24%) | shot 0.0
   20 |     -0.750 |    0.192 |   0.00   0.75 | sp  9.4 |  watch | pass  4.0 (26%) | shot 0.0
   25 |     -0.633 |    0.250 |   0.00   0.63 | sp  9.5 |  watch | pass  2.6 (49%) | shot 0.0
   30 |     -0.533 |    0.275 |   0.00   0.53 | sp 12.0 |  watch | pass  3.4 (33%) | shot 0.0
   35 |     -0.817 |    0.167 |   0.00   0.82 | sp 11.4 |  watch | pass  4.2 (28%) | shot 0.0
   40 |     -1.000 |    0.125 |   0.00   1.00 | sp 11.6 |  watch | pass  3.5 (24%) | shot 0.0
   45 |     -0.750 |    0.208 |   0.00   0.75 | sp 10.3 |  watch | pass  8.0 (17%) | shot 0.0
   50 |     -1.033 |    0.092 |   0.00   1.03 | sp 12.3 |  watch | pass  6.9 (14%) | shot 0.0
   55 |     -0.683 |    0.217 |   0.00   0.68 | sp 11.7 |  watch | pass  4.7 (23%) | shot 0.0
   60 |     -0.733 |    0.242 |   0.00   0.73 | sp 11.9 |  watch | pass  4.0 (17%) | shot 0.0
   65 |     -0.533 |    0.267 |   0.00   0.53 | sp 11.3 |  watch | pass  6.9 (10%) | shot 0.0
   70 |     -0.650 |    0.200 |   0.00   0.65 | sp 10.8 |  watch | pass  4.7 (18%) | shot 0.0
   75 |     -0.467 |    0.300 |   0.00   0.47 | sp  9.8 |  watch | pass  3.7 (26%) | shot 0.0
   80 |     -0.383 |    0.342 |   0.00   0.38 | sp 10.4 |  watch | pass  6.1 (15%) | shot 0.0
   85 |     -0.667 |    0.225 |   0.00   0.67 | sp  9.6 |  watch | pass 10.6 (14%) | shot 0.0
   90 |     -0.467 |    0.317 |   0.00   0.47 | sp  9.7 |  watch | pass  7.2 (17%) | shot 0.0
   95 |     -0.317 |    0.350 |   0.00   0.32 | sp  9.7 |  watch | pass  5.7 (26%) | shot 0.0
  100 |     -0.350 |    0.350 |   0.00   0.35 | sp  8.9 |  watch | pass  5.6 (37%) | shot 0.0
  105 |     -0.450 |    0.292 |   0.00   0.45 | sp  7.7 |  watch | pass 12.1 (35%) | shot 0.0
  110 |     -0.400 |    0.325 |   0.00   0.40 | sp  7.7 |  watch | pass  7.6 (43%) | shot 0.0
  115 |     -0.600 |    0.250 |   0.00   0.60 | sp  7.5 |  watch | pass  9.8 (27%) | shot 0.0
  120 |     -0.617 |    0.267 |   0.00   0.62 | sp  8.9 |  watch | pass 18.6 (26%) | shot 0.0
  125 |     -0.550 |    0.258 |   0.02   0.57 | sp  9.2 |  watch | pass 19.1 (30%) | shot 0.2
  130 |     -0.617 |    0.233 |   0.02   0.63 | sp  9.1 |  watch | pass 20.0 (28%) | shot 0.3
  135 |     -0.300 |    0.358 |   0.02   0.32 | sp  8.3 |  watch | pass 12.2 (33%) | shot 0.3
  140 |     -0.300 |    0.392 |   0.02   0.32 | sp  9.1 |  watch | pass 15.0 (41%) | shot 0.4
  145 |     -0.550 |    0.250 |   0.00   0.55 | sp  9.5 |  watch | pass 17.0 (32%) | shot 0.1
  150 |     -0.267 |    0.392 |   0.08   0.35 | sp  8.7 |  watch | pass 15.8 (44%) | shot 0.9
