=== 5-a-side standalone learning demo ===
scripted-vs-scripted:   goal_diff=-0.17  (A 0.22 / B 0.39)
untrained-vs-scripted:  goal_diff=-0.14  winrate=0.43  (A 0.00 / B 0.14)  spacing=8.6
behavior-clone warm start: 28800 samples, loss 1.062, teacher-match 61%
training for 500 iterations (12 games/iter, 4 rollout workers, seed 20260710)...

 iter |  goal_diff |  winrate |     gA     gB |  space |   gate | entropy |  val_loss
--------------------------------------------------------------------------------
    5 |     -1.133 |    0.125 |   0.02   1.15 | sp  1.9 |  watch | pass 202.7 (76%) | shot 0.1
   10 |     -0.583 |    0.233 |   0.07   0.65 | sp  5.0 |  watch | pass 24.5 (45%) | shot 0.4
   15 |     -0.667 |    0.242 |   0.05   0.72 | sp  8.9 |  watch | pass  9.8 (40%) | shot 0.2
   20 |     -0.700 |    0.192 |   0.00   0.70 | sp 10.1 |  watch | pass  6.6 (27%) | shot 0.0
   25 |     -0.567 |    0.250 |   0.22   0.78 | sp 10.9 |  watch | pass 27.2 (34%) | shot 0.9
   30 |     -0.800 |    0.217 |   0.03   0.83 | sp 13.6 |  watch | pass 28.7 (22%) | shot 0.5
   35 |     -1.050 |    0.117 |   0.07   1.12 | sp 12.4 |  watch | pass 26.8 (27%) | shot 1.1
   40 |     -0.817 |    0.175 |   0.08   0.90 | sp 10.9 |  watch | pass 23.4 (26%) | shot 0.8
   45 |     -0.833 |    0.200 |   0.00   0.83 | sp 11.9 |  watch | pass 18.3 (18%) | shot 0.3
   50 |     -1.017 |    0.158 |   0.02   1.03 | sp 10.3 |  watch | pass 18.4 (27%) | shot 0.3
   55 |     -1.633 |    0.050 |   0.00   1.63 | sp 11.4 |  watch | pass 13.8 (17%) | shot 0.1
   60 |     -1.183 |    0.108 |   0.03   1.22 | sp 11.4 |  watch | pass 18.3 (21%) | shot 0.2
   65 |     -1.417 |    0.083 |   0.00   1.42 | sp 11.2 |  watch | pass 14.4 (24%) | shot 0.1
   70 |     -0.417 |    0.292 |   0.00   0.42 | sp 10.4 |  watch | pass  9.8 (32%) | shot 0.0
   75 |     -0.983 |    0.133 |   0.00   0.98 | sp  9.4 |  watch | pass  8.2 (36%) | shot 0.0
   80 |     -0.550 |    0.292 |   0.00   0.55 | sp  8.8 |  watch | pass  9.6 (40%) | shot 0.0
   85 |     -0.917 |    0.158 |   0.00   0.92 | sp 10.0 |  watch | pass  9.6 (32%) | shot 0.0
   90 |     -1.100 |    0.142 |   0.00   1.10 | sp 10.7 |  watch | pass 10.6 (21%) | shot 0.0
   95 |     -0.833 |    0.175 |   0.00   0.83 | sp 11.0 |  watch | pass 15.7 (23%) | shot 0.0
  100 |     -0.650 |    0.233 |   0.00   0.65 | sp  9.4 |  watch | pass 23.5 (18%) | shot 0.1
  105 |     -0.850 |    0.208 |   0.02   0.87 | sp  9.5 |  watch | pass 18.9 (32%) | shot 0.1
  110 |     -1.100 |    0.133 |   0.00   1.10 | sp 10.5 |  watch | pass 11.9 (38%) | shot 0.0
  115 |     -1.533 |    0.092 |   0.00   1.53 | sp 11.1 |  watch | pass 12.3 (31%) | shot 0.0
  120 |     -1.467 |    0.100 |   0.00   1.47 | sp 11.0 |  watch | pass  8.2 (24%) | shot 0.0
  125 |     -0.700 |    0.225 |   0.00   0.70 | sp  9.4 |  watch | pass 14.2 (30%) | shot 0.0
